"pill family","route","file path","line","pill visible text","origin of visible text","tooltip text","origin of tooltip text","condition shown","resource type","schema property","schema name","schema description","schema description source","value kind","retrieved","notes"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Health Condition","hardcoded label: in src/components/metadata/helpers.ts, wired to 'healthCondition' by the switch in generateMetadataContent","The health condition(s) /infectious disease(s) which are the focus of the work (like COVID-19, coronavirus).","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has healthCondition data and @type is Dataset, ComputationalTool, ResourceCatalog, Sample","Dataset, ComputationalTool, ResourceCatalog, Sample","healthCondition","Health Condition","The health condition(s) /infectious disease(s) which are the focus of the work (like COVID-19, coronavirus).","description[type]","resolved","","wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Health Condition","hardcoded label: in src/components/metadata/helpers.ts, wired to 'healthCondition' by the switch in generateMetadataContent","The infectious disease(s) / health condition(s) which are the focus of the data collection.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has healthCondition data and @type is DataCollection","DataCollection","healthCondition","Health Condition","The infectious disease(s) / health condition(s) which are the focus of the data collection.","description[type]","resolved","","wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Health Condition","hardcoded label: in src/components/metadata/helpers.ts, wired to 'healthCondition'","No health condition data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO healthCondition data (isDisabled)","(not type-dependent)","healthCondition","Health Condition","[Dataset, ComputationalTool, ResourceCatalog, Sample] The health condition(s) /infectious disease(s) which are the focus of the work (like COVID-19, coronavirus). | [DataCollection] The infectious disease(s) / health condition(s) which are the focus of the data collection.","varies by type (2 wordings)","literal","","empty state - the schema description is not shown"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","License","hardcoded label: in src/components/metadata/helpers.ts, wired to 'license' by the switch in generateMetadataContent","A license document that applies to this work, typically indicated by URL.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has license data and @type is Dataset, ComputationalTool, ResourceCatalog, Sample","Dataset, ComputationalTool, ResourceCatalog, Sample","license","License","A license document that applies to this work, typically indicated by URL.","description[type]","resolved","","wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","License","hardcoded label: in src/components/metadata/helpers.ts, wired to 'license' by the switch in generateMetadataContent","A license document that applies to the source of the data collection, typically indicated by URL.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has license data and @type is DataCollection","DataCollection","license","License","A license document that applies to the source of the data collection, typically indicated by URL.","description[type]","resolved","","wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","License","hardcoded label: in src/components/metadata/helpers.ts, wired to 'license'","No license data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO license data (isDisabled)","(not type-dependent)","license","License","[Dataset, ComputationalTool, ResourceCatalog, Sample] A license document that applies to this work, typically indicated by URL. | [DataCollection] A license document that applies to the source of the data collection, typically indicated by URL.","varies by type (2 wordings)","literal","","empty state - the schema description is not shown"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Measurement Technique","hardcoded label: in src/components/metadata/helpers.ts, wired to 'measurementTechnique' by the switch in generateMetadataContent","A technique or technology used in a  dataset corresponding to the method used for measuring the corresponding variable(s) (described using variableMeasured). For example, if variableMeasured is molecule concentration, measurementTechnique could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"".","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has measurementTechnique data and @type is Dataset, ResourceCatalog","Dataset, ResourceCatalog","measurementTechnique","Measurement Technique","A technique or technology used in a  dataset corresponding to the method used for measuring the corresponding variable(s) (described using variableMeasured). For example, if variableMeasured is molecule concentration, measurementTechnique could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"".","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Measurement Technique","hardcoded label: in src/components/metadata/helpers.ts, wired to 'measurementTechnique' by the switch in generateMetadataContent","A technique, method or technology used in an Observation, StatisticalVariable or Dataset (or DataDownload, DataCatalog), corresponding to the method used for measuring the corresponding variable(s) (for datasets, described using variableMeasured; for Observation, a StatisticalVariable). For example, if variableMeasured is: molecule concentration, measurementTechnique could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"". If the variableMeasured is ""depression rating"", the measurementTechnique could be ""Zung Scale"" or ""HAM-D"" or ""Beck Depression Inventory"".","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has measurementTechnique data and @type is ComputationalTool","ComputationalTool","measurementTechnique","Measurement Technique","A technique, method or technology used in an Observation, StatisticalVariable or Dataset (or DataDownload, DataCatalog), corresponding to the method used for measuring the corresponding variable(s) (for datasets, described using variableMeasured; for Observation, a StatisticalVariable). For example, if variableMeasured is: molecule concentration, measurementTechnique could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"". If the variableMeasured is ""depression rating"", the measurementTechnique could be ""Zung Scale"" or ""HAM-D"" or ""Beck Depression Inventory"".","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Measurement Technique","hardcoded label: in src/components/metadata/helpers.ts, wired to 'measurementTechnique' by the switch in generateMetadataContent","A technique or technology used in the collection or processing of the sample corresponding to the method used for measuring the corresponding variable(s) (described using variableMeasured). For example, if variableMeasured is cell density or cell counts, measurementTechnique could be:  ""centrifugation"" or ""flow cytometry"".","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has measurementTechnique data and @type is Sample","Sample","measurementTechnique","Measurement Technique","A technique or technology used in the collection or processing of the sample corresponding to the method used for measuring the corresponding variable(s) (described using variableMeasured). For example, if variableMeasured is cell density or cell counts, measurementTechnique could be:  ""centrifugation"" or ""flow cytometry"".","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Measurement Technique","hardcoded label: in src/components/metadata/helpers.ts, wired to 'measurementTechnique' by the switch in generateMetadataContent","A technique, method or technology used in the source data for the data collection corresponding to the method used for measuring the corresponding variable(s) (for the records in the data collection, described using variableMeasured; for Observation, a StatisticalVariable). For example, if variableMeasured is: molecule concentration, measurementTechnique could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"". If the variableMeasured is ""depression rating"", the measurementTechnique could be ""Zung Scale"" or ""HAM-D"" or ""Beck Depression Inventory"".","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has measurementTechnique data and @type is DataCollection","DataCollection","measurementTechnique","Measurement Technique","A technique, method or technology used in the source data for the data collection corresponding to the method used for measuring the corresponding variable(s) (for the records in the data collection, described using variableMeasured; for Observation, a StatisticalVariable). For example, if variableMeasured is: molecule concentration, measurementTechnique could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"". If the variableMeasured is ""depression rating"", the measurementTechnique could be ""Zung Scale"" or ""HAM-D"" or ""Beck Depression Inventory"".","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Measurement Technique","hardcoded label: in src/components/metadata/helpers.ts, wired to 'measurementTechnique'","No measurement technique data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO measurementTechnique data (isDisabled)","(not type-dependent)","measurementTechnique","Measurement Technique","[Dataset, ResourceCatalog] A technique or technology used in a  dataset corresponding to the method used for measuring the corresponding variable(s) (described using variableMeasured). For example, if variableMeasured is molecule concentration, measurementTechnique could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"". | [ComputationalTool] A technique, method or technology used in an Observation, StatisticalVariable or Dataset (or DataDownload, DataCatalog), corresponding to the method used for measuring the corresponding variable(s) (for datasets, described using variableMeasured; for Observation, a StatisticalVariable). For example, if variableMeasured is: molecule concentration, measurementTechnique could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"". If the variableMeasured is ""depression rating"", the measurementTechnique could be ""Zung Scale"" or ""HAM-D"" or ""Beck Depression Inventory"". | [Sample] A technique or technology used in the collection or processing of the sample corresponding to the method used for measuring the corresponding variable(s) (described using variableMeasured). For example, if variableMeasured is cell density or cell counts, measurementTechnique could be:  ""centrifugation"" or ""flow cytometry"". | [DataCollection] A technique, method or technology used in the source data for the data collection corresponding to the method used for measuring the corresponding variable(s) (for the records in the data collection, described using variableMeasured; for Observation, a StatisticalVariable). For example, if variableMeasured is: molecule concentration, measurementTechnique could be: ""mass spectrometry"" or ""nmr spectroscopy"" or ""colorimetry"" or ""immunofluorescence"". If the variableMeasured is ""depression rating"", the measurementTechnique could be ""Zung Scale"" or ""HAM-D"" or ""Beck Depression Inventory"".","varies by type (4 wordings)","literal","","empty state - the schema description is not shown"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Pathogen","hardcoded label: in src/components/metadata/helpers.ts, wired to 'infectiousAgent' by the switch in generateMetadataContent","Infectious agent(s) / pathogen(s) which are the focus of the work (like SARS-CoV-2).","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has infectiousAgent data and @type is Dataset, ComputationalTool, ResourceCatalog, Sample","Dataset, ComputationalTool, ResourceCatalog, Sample","infectiousAgent","Pathogen Species","Infectious agent(s) / pathogen(s) which are the focus of the work (like SARS-CoV-2).","description[type]","resolved","","pill label differs from the schema name ""Pathogen Species""; wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Pathogen","hardcoded label: in src/components/metadata/helpers.ts, wired to 'infectiousAgent' by the switch in generateMetadataContent","Infectious agent(s) / pathogen(s) which are the focus of the data collection (like SARS-CoV-2).","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has infectiousAgent data and @type is DataCollection","DataCollection","infectiousAgent","Pathogen Species","Infectious agent(s) / pathogen(s) which are the focus of the data collection (like SARS-CoV-2).","description[type]","resolved","","pill label differs from the schema name ""Pathogen Species""; wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Pathogen","hardcoded label: in src/components/metadata/helpers.ts, wired to 'infectiousAgent'","No pathogen data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO infectiousAgent data (isDisabled)","(not type-dependent)","infectiousAgent","Pathogen Species","[Dataset, ComputationalTool, ResourceCatalog, Sample] Infectious agent(s) / pathogen(s) which are the focus of the work (like SARS-CoV-2). | [DataCollection] Infectious agent(s) / pathogen(s) which are the focus of the data collection (like SARS-CoV-2).","varies by type (2 wordings)","literal","","empty state - the schema description is not shown"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Sample","hardcoded label: in src/components/metadata/helpers.ts, wired to 'sample' by the switch in generateMetadataContent","the samples used to generate the dataset","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has sample data and @type is Dataset, ComputationalTool, ResourceCatalog, Sample","Dataset, ComputationalTool, ResourceCatalog, Sample","sample","Sample","the samples used to generate the dataset","description[type] + description['Dataset'] (fallback)","resolved","","resolved from the Dataset wording, not this type's own; wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Sample","hardcoded label: in src/components/metadata/helpers.ts, wired to 'sample' by the switch in generateMetadataContent","The sample(s) which were used to generate the records in the data collection","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has sample data and @type is DataCollection","DataCollection","sample","Sample","The sample(s) which were used to generate the records in the data collection","description[type]","resolved","","wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Sample","hardcoded label: in src/components/metadata/helpers.ts, wired to 'sample'","No sample data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO sample data (isDisabled)","(not type-dependent)","sample","Sample","[Dataset, ComputationalTool, ResourceCatalog, Sample] the samples used to generate the dataset | [DataCollection] The sample(s) which were used to generate the records in the data collection","varies by type (2 wordings)","literal","","empty state - the schema description is not shown"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Species","hardcoded label: in src/components/metadata/helpers.ts, wired to 'species' by the switch in generateMetadataContent","Species / host organism from which the dataset has been collected.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has species data and @type is Dataset, ComputationalTool, ResourceCatalog, Sample","Dataset, ComputationalTool, ResourceCatalog, Sample","species","Species","Species / host organism from which the dataset has been collected.","description[type]","resolved","","wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Species","hardcoded label: in src/components/metadata/helpers.ts, wired to 'species' by the switch in generateMetadataContent","Species(es) / host organism from which records in the data collection have been collected, or is the focus of grouping of records in the data collection.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has species data and @type is DataCollection","DataCollection","species","Species","Species(es) / host organism from which records in the data collection have been collected, or is the focus of grouping of records in the data collection.","description[type]","resolved","","wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Species","hardcoded label: in src/components/metadata/helpers.ts, wired to 'species'","No species data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO species data (isDisabled)","(not type-dependent)","species","Species","[Dataset, ComputationalTool, ResourceCatalog, Sample] Species / host organism from which the dataset has been collected. | [DataCollection] Species(es) / host organism from which records in the data collection have been collected, or is the focus of grouping of records in the data collection.","varies by type (2 wordings)","literal","","empty state - the schema description is not shown"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Topic Category","hardcoded label: in src/components/metadata/helpers.ts, wired to 'topicCategory' by the switch in generateMetadataContent","Topic of the work. This topic may be assigned by a human curator or through automated algorithms.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has topicCategory data and @type is Dataset, ComputationalTool, ResourceCatalog, Sample","Dataset, ComputationalTool, ResourceCatalog, Sample","topicCategory","Topic Category","Topic of the work. This topic may be assigned by a human curator or through automated algorithms.","description[type]","resolved","","wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Topic Category","hardcoded label: in src/components/metadata/helpers.ts, wired to 'topicCategory' by the switch in generateMetadataContent","Topic of the records in the data collection. This topic may be assigned by a human curator or through automated algorithms.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has topicCategory data and @type is DataCollection","DataCollection","topicCategory","Topic Category","Topic of the records in the data collection. This topic may be assigned by a human curator or through automated algorithms.","description[type]","resolved","","wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Topic Category","hardcoded label: in src/components/metadata/helpers.ts, wired to 'topicCategory'","No topic category data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO topicCategory data (isDisabled)","(not type-dependent)","topicCategory","Topic Category","[Dataset, ComputationalTool, ResourceCatalog, Sample] Topic of the work. This topic may be assigned by a human curator or through automated algorithms. | [DataCollection] Topic of the records in the data collection. This topic may be assigned by a human curator or through automated algorithms.","varies by type (2 wordings)","literal","","empty state - the schema description is not shown"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Usage Info","hardcoded label: in src/components/metadata/helpers.ts, wired to 'usageInfo' by the switch in generateMetadataContent","Data usage agreement, specifying the terms under which the dataset can be used. Note that this is related to but distinct from the license.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has usageInfo data and @type is Dataset, ComputationalTool","Dataset, ComputationalTool","usageInfo","Usage Info","Data usage agreement, specifying the terms under which the dataset can be used. Note that this is related to but distinct from the license.","description[type] + description['Dataset'] (fallback)","resolved","","resolved from the Dataset wording, not this type's own; wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Usage Info","hardcoded label: in src/components/metadata/helpers.ts, wired to 'usageInfo' by the switch in generateMetadataContent","Data usage agreement, specifying the terms under which the content from the resource catalog can be used. Note that this is related to but distinct from the license.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has usageInfo data and @type is ResourceCatalog","ResourceCatalog","usageInfo","Usage Info","Data usage agreement, specifying the terms under which the content from the resource catalog can be used. Note that this is related to but distinct from the license.","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Usage Info","hardcoded label: in src/components/metadata/helpers.ts, wired to 'usageInfo' by the switch in generateMetadataContent","The terms under which the sample can be used. Note that this is related to but distinct from the license.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has usageInfo data and @type is Sample","Sample","usageInfo","Usage Info","The terms under which the sample can be used. Note that this is related to but distinct from the license.","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Usage Info","hardcoded label: in src/components/metadata/helpers.ts, wired to 'usageInfo' by the switch in generateMetadataContent","Data usage agreement for the records included in the data collection, the terms under which the underlying records in the data collection can be used. Information on how the data collection can be used. Note that this is related to but distinct from the license.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has usageInfo data and @type is DataCollection","DataCollection","usageInfo","Usage Info","Data usage agreement for the records included in the data collection, the terms under which the underlying records in the data collection can be used. Information on how the data collection can be used. Note that this is related to but distinct from the license.","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Usage Info","hardcoded label: in src/components/metadata/helpers.ts, wired to 'usageInfo'","No usage info data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO usageInfo data (isDisabled)","(not type-dependent)","usageInfo","Usage Info","[Dataset, ComputationalTool] Data usage agreement, specifying the terms under which the dataset can be used. Note that this is related to but distinct from the license. | [ResourceCatalog] Data usage agreement, specifying the terms under which the content from the resource catalog can be used. Note that this is related to but distinct from the license. | [Sample] The terms under which the sample can be used. Note that this is related to but distinct from the license. | [DataCollection] Data usage agreement for the records included in the data collection, the terms under which the underlying records in the data collection can be used. Information on how the data collection can be used. Note that this is related to but distinct from the license.","varies by type (4 wordings)","literal","","empty state - the schema description is not shown"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Variable Measured","hardcoded label: in src/components/metadata/helpers.ts, wired to 'variableMeasured' by the switch in generateMetadataContent","Variables measured within the dataset.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has variableMeasured data and @type is Dataset, ResourceCatalog","Dataset, ResourceCatalog","variableMeasured","Variable Measured","Variables measured within the dataset.","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Variable Measured","hardcoded label: in src/components/metadata/helpers.ts, wired to 'variableMeasured' by the switch in generateMetadataContent","The variableMeasured property can indicate (repeated as necessary) the variables that are measured in some dataset, either described as text or as pairs of identifier and description using PropertyValue, or more explicitly as a StatisticalVariable.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has variableMeasured data and @type is ComputationalTool","ComputationalTool","variableMeasured","Variable Measured","The variableMeasured property can indicate (repeated as necessary) the variables that are measured in some dataset, either described as text or as pairs of identifier and description using PropertyValue, or more explicitly as a StatisticalVariable.","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Variable Measured","hardcoded label: in src/components/metadata/helpers.ts, wired to 'variableMeasured' by the switch in generateMetadataContent","Variables measured within the sample.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has variableMeasured data and @type is Sample","Sample","variableMeasured","Variable Measured","Variables measured within the sample.","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Variable Measured","hardcoded label: in src/components/metadata/helpers.ts, wired to 'variableMeasured' by the switch in generateMetadataContent","Variables measured within the records in the data collection. Measured variables by which the records in the data collection may have been grouped.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has variableMeasured data and @type is DataCollection","DataCollection","variableMeasured","Variable Measured","Variables measured within the records in the data collection. Measured variables by which the records in the data collection may have been grouped.","description[type]","resolved","","wording varies by resource type (4 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Variable Measured","hardcoded label: in src/components/metadata/helpers.ts, wired to 'variableMeasured'","No variable measured data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO variableMeasured data (isDisabled)","(not type-dependent)","variableMeasured","Variable Measured","[Dataset, ResourceCatalog] Variables measured within the dataset. | [ComputationalTool] The variableMeasured property can indicate (repeated as necessary) the variables that are measured in some dataset, either described as text or as pairs of identifier and description using PropertyValue, or more explicitly as a StatisticalVariable. | [Sample] Variables measured within the sample. | [DataCollection] Variables measured within the records in the data collection. Measured variables by which the records in the data collection may have been grouped.","varies by type (4 wordings)","literal","","empty state - the schema description is not shown"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Available on Device","hardcoded label: in src/components/metadata/helpers.ts, wired to 'availableOnDevice' by the switch in generateMetadataContent","(no description for this resource type - tooltip is empty)","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has availableOnDevice data and @type is Dataset, ResourceCatalog, Sample, DataCollection","Dataset, ResourceCatalog, Sample, DataCollection","availableOnDevice","Available On Device","","(none - empty tooltip)","resolved","","pill label differs from the schema name ""Available On Device""; no wording for this type - the tooltip renders empty; wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Available on Device","hardcoded label: in src/components/metadata/helpers.ts, wired to 'availableOnDevice' by the switch in generateMetadataContent","Device or platform required to run the application, such as Bioconda, Docker, or Singularity.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has availableOnDevice data and @type is ComputationalTool","ComputationalTool","availableOnDevice","Available On Device","Device or platform required to run the application, such as Bioconda, Docker, or Singularity.","description[type]","resolved","","pill label differs from the schema name ""Available On Device""; wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Available on Device","hardcoded label: in src/components/metadata/helpers.ts, wired to 'availableOnDevice'","No available on device data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO availableOnDevice data (isDisabled)","(not type-dependent)","availableOnDevice","Available On Device","[ComputationalTool] Device or platform required to run the application, such as Bioconda, Docker, or Singularity.","ComputationalTool only","literal","","empty state - the schema description is not shown"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Feature List","hardcoded label: in src/components/metadata/helpers.ts, wired to 'featureList' by the switch in generateMetadataContent","(no description for this resource type - tooltip is empty)","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has featureList data and @type is Dataset, ResourceCatalog, Sample, DataCollection","Dataset, ResourceCatalog, Sample, DataCollection","featureList","Feature List","","(none - empty tooltip)","resolved","","no wording for this type - the tooltip renders empty; wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Feature List","hardcoded label: in src/components/metadata/helpers.ts, wired to 'featureList' by the switch in generateMetadataContent","Features or modules provided by this application (and possibly required by other applications).","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has featureList data and @type is ComputationalTool","ComputationalTool","featureList","Feature List","Features or modules provided by this application (and possibly required by other applications).","description[type]","resolved","","wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Feature List","hardcoded label: in src/components/metadata/helpers.ts, wired to 'featureList'","No feature list data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO featureList data (isDisabled)","(not type-dependent)","featureList","Feature List","[ComputationalTool] Features or modules provided by this application (and possibly required by other applications).","ComputationalTool only","literal","","empty state - the schema description is not shown"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Input","hardcoded label: in src/components/metadata/helpers.ts, wired to 'input' by the switch in generateMetadataContent","(no description for this resource type - tooltip is empty)","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has input data and @type is Dataset, ResourceCatalog, Sample, DataCollection","Dataset, ResourceCatalog, Sample, DataCollection","input","Input","","(none - empty tooltip)","resolved","","no wording for this type - the tooltip renders empty; wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Input","hardcoded label: in src/components/metadata/helpers.ts, wired to 'input' by the switch in generateMetadataContent","software input, such as a file or parameter.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has input data and @type is ComputationalTool","ComputationalTool","input","Input","software input, such as a file or parameter.","description[type]","resolved","","wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Input","hardcoded label: in src/components/metadata/helpers.ts, wired to 'input'","No input data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO input data (isDisabled)","(not type-dependent)","input","Input","[ComputationalTool] software input, such as a file or parameter.","ComputationalTool only","literal","","empty state - the schema description is not shown"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Output","hardcoded label: in src/components/metadata/helpers.ts, wired to 'output' by the switch in generateMetadataContent","(no description for this resource type - tooltip is empty)","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has output data and @type is Dataset, ResourceCatalog, Sample, DataCollection","Dataset, ResourceCatalog, Sample, DataCollection","output","Output","","(none - empty tooltip)","resolved","","no wording for this type - the tooltip renders empty; wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Output","hardcoded label: in src/components/metadata/helpers.ts, wired to 'output' by the switch in generateMetadataContent","Output of the computational tool.","configs/schema-definitions.json - description[type] || abstract[type] || description['Dataset']","the record has output data and @type is ComputationalTool","ComputationalTool","output","Output","Output of the computational tool.","description[type]","resolved","","wording varies by resource type (2 distinct)"
"accordion property","/search","src/views/search/components/results-list/components/card/metadata-accordion/index.tsx","158","Output","hardcoded label: in src/components/metadata/helpers.ts, wired to 'output'","No output data.","template at src/views/search/components/results-list/components/card/metadata-accordion/index.tsx:158","the record has NO output data (isDisabled)","(not type-dependent)","output","Output","[ComputationalTool] Output of the computational tool.","ComputationalTool only","literal","","empty state - the schema description is not shown"
